ui_number,ffl_number,ffl_type,ffl_proprietor,ffl_proprietor_2,ffl_address,ffl_city,ffl_state,ffl_zip,ffl_county,inspection_assign_date,inspection_complete_date,revocation_effective_date,final_disposition,revocation_warranted,violations,report_url
763050-2015-0402-B1B,1-56-059-01-6F-21093,Dealer,"Milholen, Charles E. III",,186 Valley Oaks Drive,Advance,NC,27006,Davie,2015-09-15,2015-12-01,,Warning letter,N,"478.21(a), 478.102(a), 478.103(a)",https://atf-inspection-reports.s3.amazonaws.com/763050-2015-0402-B1B.pdf
773015-2016-0537-B1B,4-31-025-01-8M-00941,Dealer,Roy Lynn Eicher,Hunters Den Of Ohio,1299C Ohio Pike,Amelia,OH,45102,Clermont,2016-06-09,2016-07-18,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.126a, 478.99(c), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/773015-2016-0537-B1B.pdf
764035-2016-0098-B1B,1-59-025-01-7K-31613,Dealer,"Venegas Ventures, LLC",The Gun Stash,12043 SW 117th CT.,Miami,FL,33186,Miami-dade,2016-01-27,2016-07-15,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.125(e), 478.126a, 478.129(b)",https://atf-inspection-reports.s3.amazonaws.com/764035-2016-0098-B1B.pdf
782110-2016-0329-B1B,5-74-123-02-7K-00925,Pawnbroker,"Brasher, Jerry Lee",,602 US Hwy 77a S,Yoakum,TX,77995,Dewitt,2016-05-25,2016-07-05,,Warning letter,N,"478.21(a), 478.102(a), 478.124(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(4), 478.126a, 478.129(b)",https://atf-inspection-reports.s3.amazonaws.com/782110-2016-0329-B1B.pdf
760560-2016-0089-B1B,1-58-055-02-5B-07652,Pawnbroker,"Herb's Trading Company, LLC",Herb's Trading Company,12334 Highway 27,Summerville,GA,30747,Chattooga,2015-11-18,2016-11-08,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.126a, 478.125(e), 478.129(b)",https://atf-inspection-reports.s3.amazonaws.com/760560-2016-0089-B1B.pdf
773015-2017-0045-B1B,4-31-091-07-8G-03822,Manufacturer,"LL Emerson Group, LLC",Wild Boar Guns,9230 CR 2,West Mansfield,OH,43358,Logan,2016-10-06,2017-06-27,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.102(a)",https://atf-inspection-reports.s3.amazonaws.com/773015-2017-0045-B1B.pdf
785110-2015-0245-B1B,9-86-013-01-7M-03275,Dealer,"Arizona Arms, LLC",,500 E. Comstock,Chandler,AZ,85225,Maricopa,2015-07-30,2016-01-12,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/785110-2015-0245-B1B.pdf
760555-2016-0208-B1B,1-58-277-02-6K-39334,Pawnbroker,"Bennett, William C",Tift Area Pawn Shop,405 W 7th St,Tifton,GA,31794,Tift,2016-03-11,2016-08-26,,Warning letter,N,"478.99(c)(9), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.125(e), 478.126a, 478.129(b)",https://atf-inspection-reports.s3.amazonaws.com/760555-2016-0208-B1B.pdf
764075-2016-0088-B1B,1-59-085-02-7M-31859,Pawnbroker,Treasure Coast Jewelry & Loan LLC,,1088 NW Federal Highway,Stuart,FL,34994,Martin,2015-11-27,2016-07-07,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/764075-2016-0088-B1B.pdf
777070-2017-0065-B1B,5-72-073-07-6H-04339,Manufacturer,Spec Ops Defense Systems LLC,S O D S,1500 New Natchitoches Rd.,West Monroe,LA,71292,Ouachita Parish,2016-10-25,2017-01-31,2017-03-02,Revocation/denial of renewal,Y,,https://atf-inspection-reports.s3.amazonaws.com/777070-2017-0065-B1B.pdf
776070-2015-0258-B1B,1-62-103-01-6E-03023,Dealer,"Gatlin, Charles David",Gatlin Guns And Archery,79 Twin Springs Rd,Petersburg,TN,37144,Lincoln,2015-07-24,2015-09-16,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(iv), 478.125(e), 478.100(a)(1)",https://atf-inspection-reports.s3.amazonaws.com/776070-2015-0258-B1B.pdf
785110-2016-0030-B1B,9-86-013-07-6C-06144,Manufacturer,"American Munition & Ordnance, Inc.",Ted's Shooting Range,18395 S. 186th Way #106,Queen Creek,AZ,85142,Maricopa,2015-10-06,2016-02-02,,Warning letter,N,"478.123(a), 478.123(b), 478.123(d), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.131(a)(2)",https://atf-inspection-reports.s3.amazonaws.com/785110-2016-0030-B1B.pdf
787065-2016-0094-B1B,9-91-037-01-7B-36396,Dealer,Northwest Outfitters Inc.,Cle Elum Farm & Home Supply,100 W First Street,Cle Elum,WA,98922,Kittitas,2015-10-09,2017-06-26,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(5), 478.102(c), 478.124(b), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/787065-2016-0094-B1B.pdf
777060-2016-0174-B1B,5-71-009-02-6H-02913,Pawnbroker,RWC Inc,Castle Retail And Pawn,1421 N. Main St.,Harrison,AR,72601,Boone,2016-01-11,2016-03-10,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/777060-2016-0174-B1B.pdf
763075-2017-0100-B1B,1-57-077-01-8M-04007,Dealer,"Powder Keg Armory, LLC",Powder Keg Armory,206 Crest Way,Easley,SC,29640,Pickens,2016-11-07,2017-02-01,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/763075-2017-0100-B1B.pdf
782065-2017-0191-B1B,5-74-021-01-7C-04676,Dealer,"Vasut, Bert C",,153 Malcom-eddy Road,Elgin,TX,78621,Bastrop,2017-01-17,2017-03-02,,Warning letter,N,"478.21(a), 478.124(c)(3)(iv)",https://atf-inspection-reports.s3.amazonaws.com/782065-2017-0191-B1B.pdf
764075-2016-0233-B1B,1-59-093-01-9C-35046,Dealer,William Schermerhorn,,2614 SE 34th LN,Okeechobee,FL,34974,Okeechobee,2016-08-01,2016-12-16,,Warning letter,N,"478.21(a), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/764075-2016-0233-B1B.pdf
784025-2015-0449-B1B,9-33-037-07-7A-05269,Manufacturer,"Shamie, Daniel",Arms Unlimited,"2541 W 237th Street, Suite F",Torrance,CA,90505,Los Angeles,2015-08-27,2015-09-21,,Warning letter,N,478.126a,https://atf-inspection-reports.s3.amazonaws.com/784025-2015-0449-B1B.pdf
782075-2016-0051-B1B,5-76-157-07-6D-03887,Manufacturer,"Vaught, Edwin Joseph",Vaught Custom Guns,4707 State Hwy 36 S. Ste 43,Rosenberg,TX,77471,Fort Bend,2015-10-05,2016-03-03,,Warning letter,N,"478.123(d), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/782075-2016-0051-B1B.pdf
763050-2016-0057-B1B,1-56-193-01-6L-00650,Dealer,"Bumgarner, Ronnie Eugene",Ron's Gun Shop,3685 Hwy 16 North,Millers Creek,NC,28651,Wilkes,2015-10-21,2015-12-14,,Warning letter,Y,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/763050-2016-0057-B1B.pdf
786040-2017-0226-B1B,9-68-035-01-8C-03136,Dealer,Jeffrey M. Cagle,Honey Lake Firearms & Guide Service,600 Main Street,Susanville,CA,96130,Lassen,2017-06-01,2018-03-12,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.126a, 18 USC 923(g)(5)(A), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/786040-2017-0226-B1B.pdf
763025-2017-0352-B1B,1-56-071-07-8C-06948,Manufacturer,Check90 LLC,High Capacity Arms,2502 Crowders Creek Rd,Gastonia,NC,28052,Gaston,2017-05-22,2017-06-26,,Warning letter,N,"478.124(c)(1), 478.21(a), 478.124(c)(5), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/763025-2017-0352-B1B.pdf
779075-2016-0132-B1B,5-43-039-02-8J-09474,Pawnbroker,"Kennedy, James V",Fiddlers Green Gun & Pawn,16015 S Hwy 39,Stockton,MO,65785,Cedar,2015-10-02,2016-10-11,,Warning letter,N,"478.124(c)(1), 478.99(c), 478.21(a), 478.124(c)(3)(i), 478.99(a), 478.124(c)(3)(iv), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/779075-2016-0132-B1B.pdf
781025-2016-0088-B1B,5-73-135-01-6G-04374,Dealer,Simon's Inc,Simon's Ace Hardware,317 South Thornton,Vian,OK,74962,Sequoyah,2015-10-21,2015-12-06,,Warning letter,N,"478.102(a), 478.124(a), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/781025-2016-0088-B1B.pdf
782075-2017-0107-B1B,5-76-201-01-9A-02482,Dealer,"Rios, Paul",The Team Store,433 W 23rd St,Houston,TX,77008,Harris,2016-10-14,2017-07-12,,Warning letter,N,"478.124(c)(3)(i), 478.102(a), 18 USC 923(g)(5)(A), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/782075-2017-0107-B1B.pdf
776055-2017-0053-B1B,1-62-189-07-9G-08337,Manufacturer,"Glenn, David M.",Atlantic Ridge Arms,530 Cloverhill Lane,Lebanon,TN,37090,Wilson,2016-10-03,2017-01-12,,Warning letter,N,"478.124(c)(3)(i), 478.99(a)",https://atf-inspection-reports.s3.amazonaws.com/776055-2017-0053-B1B.pdf
768090-2016-0167-B1B,1-54-195-02-9J-02083,Pawnbroker,Henry Edward Phillips,Phillips TV & Appliance Sales,Hwy 63 North,Saint Paul,VA,24283,Wise,2016-09-27,2016-11-17,,Warning letter,N,"478.124(c)(1), 478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/768090-2016-0167-B1B.pdf
779025-2017-0409-B1B,5-48-149-01-9K-03326,Dealer,"Rumfelt Ordiance, LLC",,4150 Living Water Rd,Olsburg,KS,66520,Pottawatomie,2016-11-22,2016-12-22,,Warning letter,N,"478.125(e), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.131(a)(2), 478.124(c)(4), 478.124(c)(5), 478.21(a), 478.129(b), 478.102(a), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/779025-2017-0409-B1B.pdf
788070-2016-0338-B1B,5-83-009-02-7D-00198,Pawnbroker,"Beene, Terry; Sherri: Josephine",,"813 East Richard, Suite #3",Douglas,WY,82633,Converse,2016-07-28,2016-12-01,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(5), 478.102(a)",https://atf-inspection-reports.s3.amazonaws.com/788070-2016-0338-B1B.pdf
782065-2016-0126-B1B,5-74-029-02-7E-06965,Pawnbroker,"Action Pawnshop, LLC",,10700 Perrin Beitel,San Antonio,TX,78217,Bexar,2015-10-14,2016-01-26,,Warning letter,N,478.126a,https://atf-inspection-reports.s3.amazonaws.com/782065-2016-0126-B1B.pdf
760530-2016-0238-B1B,1-58-247-07-8G-11407,Manufacturer,"Bullet Proof Gunsmithing, LLC",Bullet Proof Gunsmithing/bpg,"3424 Monica Lane, SW",Conyers,GA,30094,Rockdale,2016-06-07,2017-04-07,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iii), 478.124(c)(3)(iv), 478.131(a)(2), 478.123(d)",https://atf-inspection-reports.s3.amazonaws.com/760530-2016-0238-B1B.pdf
779025-2017-0057-B1B,5-48-014-01-7G-05988,Dealer,"Sturgeon, Ronald G.",,131 W. Main,Osborne,KS,67473,Osborne,2016-10-03,2017-02-10,,Warning letter,N,"478.125(e), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(5), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/779025-2017-0057-B1B.pdf
776055-2017-0091-B1B,1-62-109-02-9M-07400,Pawnbroker,2nd Amendment Arsenal LLC,,770 Mulberry Ave.,Selmer,TN,38375,Mcnairy,2016-10-03,2017-02-16,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/776055-2017-0091-B1B.pdf
788070-2017-0111-B1B,5-84-005-01-9D-03098,Dealer,R & S Manufacturing LLC,,188 N Buchanan CT,Aurora,CO,80018,Arapahoe,2016-12-06,2017-05-11,,Warning letter,N,"478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/788070-2017-0111-B1B.pdf
773015-2016-0126-B1B,4-31-049-07-6A-01725,Manufacturer,"Burgess, James",,4291 Valley Quail South,Westerville,OH,43081,Franklin,2015-10-05,2015-12-10,,Warning conference,Y,"478.21(a), 478.124(c)(3)(iv), 478.124(c)(5), 479.103, 478.92(a)(1), 479.62, 478.128(c)",https://atf-inspection-reports.s3.amazonaws.com/773015-2016-0126-B1B.pdf
772060-2016-0203-B1B,3-36-031-01-8B-03375,Dealer,"Asanon, Louie M",,3119 Ernst St,Franklin Park,IL,60131,Cook,2015-12-16,2016-01-27,,Warning conference,N,"478.21(a), 478.102(a), 478.124(a), 478.124(c)(4), 478.124(c)(5), 478.126a, 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/772060-2016-0203-B1B.pdf
